"RecType","LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS"
"BEFORE","42255-0","Salmonella & Shigella sp identified","Prid","Pt","XXX","Nom","Organism specific culture","MICRO"
"CHANGED","42255-0","Salmonella & Shigella sp","Prid","Pt","XXX","Nom","Organism specific culture","MICRO"
"BEFORE","42326-9","Drugs identified","Prid","Pt","Mmlk","Nom","Screen","DRUG/TOX"
"CHANGED","42326-9","Drugs","Prid","Pt","Mmlk","Nom","Screen","DRUG/TOX"
"BEFORE","42343-4","Toxoplasma gondii identified","Prid","Pt","XXX","Nom","XXX stain","MICRO"
"CHANGED","42343-4","Toxoplasma gondii","Prid","Pt","XXX","Nom","XXX stain","MICRO"
"BEFORE","42348-3","Advance directives","Find","Pt","{Setting}","Doc","{Role}","DOC.ONTOLOGY"
"CHANGED","42348-3","Advance healthcare directives","Find","Pt","{Setting}","Doc","{Role}","DOC.ONTOLOGY"
"BEFORE","42608-0","Cells.CD10+CD20+/100 cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"CHANGED","42608-0","Cells.CD10+CD20+/Cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"BEFORE","42619-7","Cells.CD28/100 cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"CHANGED","42619-7","Cells.CD28/Cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"BEFORE","42620-5","Cells.terminal deoxyribonucleotidyl transferase/100 cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"CHANGED","42620-5","Cells.terminal deoxyribonucleotidyl transferase/Cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"BEFORE","42622-1","Cells.CD13+CD56+/100 cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"CHANGED","42622-1","Cells.CD13+CD56+/Cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"BEFORE","42628-8","Cells.CD9+CD41+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","42628-8","Cells.CD9+CD41+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","42727-8","Fibrin D-dimer DDU","MCnc","Pt","CSF","Qn","LA","COAG"
"CHANGED","42727-8","Fibrin D-dimer","MCnc","Pt","CSF","Qn","LA.DDU","COAG"
"BEFORE","42735-1","Cells.CD20+CD117+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","42735-1","Cells.CD20+CD117+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","42736-9","Cells.CD20+CD23+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","42736-9","Cells.CD20+CD23+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","42737-7","Cells.CD4+CD7+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","42737-7","Cells.CD4+CD7+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","42738-5","Cells.CD7+CD8+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","42738-5","Cells.CD7+CD8+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","42773-2","Multiple drug resistant organism identified","Prid","Pt","Urine","Nom","","MICRO"
"CHANGED","42773-2","Multiple drug resistant organism","Prid","Pt","Urine","Nom","","MICRO"
"BEFORE","42774-0","Multiple drug resistant organism identified","Prid","Pt","Wound","Nom","","MICRO"
"CHANGED","42774-0","Multiple drug resistant organism","Prid","Pt","Wound","Nom","","MICRO"
"BEFORE","42775-7","Multiple drug resistant organism identified","Prid","Pt","Sputum","Nom","","MICRO"
"CHANGED","42775-7","Multiple drug resistant organism","Prid","Pt","Sputum","Nom","","MICRO"
"BEFORE","42807-8","Parasite identified","Prid","Pt","Isolate","Nom","","MICRO"
"CHANGED","42807-8","Parasite","Prid","Pt","Isolate","Nom","","MICRO"
"BEFORE","42808-6","Virus identified","Prid","Pt","Isolate","Nom","","MICRO"
"CHANGED","42808-6","Virus","Prid","Pt","Isolate","Nom","","MICRO"
"BEFORE","42817-7","Cells.CD38+Kappa+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","42817-7","Cells.CD38+Kappa+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","42818-5","Cells.CD38+Lambda+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","42818-5","Cells.CD38+Lambda+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","42864-9","Cells.CD103/100 cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"CHANGED","42864-9","Cells.CD103/Cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"BEFORE","42865-6","Cells.CD117/100 cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"CHANGED","42865-6","Cells.CD117/Cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"BEFORE","42866-4","Cells.CD117/100 cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"CHANGED","42866-4","Cells.CD117/Cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"BEFORE","42867-2","Cells.CD117/100 cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"CHANGED","42867-2","Cells.CD117/Cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"BEFORE","42868-0","Cells.CD11c+CD19+/100 cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"CHANGED","42868-0","Cells.CD11c+CD19+/Cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"BEFORE","42869-8","Cells.CD138/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","42869-8","Cells.CD138/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","42870-6","Cells.CD138/100 cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"CHANGED","42870-6","Cells.CD138/Cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"BEFORE","42871-4","Cells.CD138/100 cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"CHANGED","42871-4","Cells.CD138/Cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"BEFORE","42872-2","Cells.CD138/100 cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"CHANGED","42872-2","Cells.CD138/Cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"BEFORE","42873-0","Cells.CD18/100 cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"CHANGED","42873-0","Cells.CD18/Cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"BEFORE","42874-8","Cells.CD18/100 cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"CHANGED","42874-8","Cells.CD18/Cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"BEFORE","42875-5","Cells.CD22/100 cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"CHANGED","42875-5","Cells.CD22/Cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"BEFORE","42876-3","Cells.CD25+CD19+/100 cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"CHANGED","42876-3","Cells.CD25+CD19+/Cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"BEFORE","42882-1","Cells.CD3-CD57+/100 cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"CHANGED","42882-1","Cells.CD3-CD57+/Cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"BEFORE","42883-9","Cells.CD52/100 cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"CHANGED","42883-9","Cells.CD52/Cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"BEFORE","42884-7","Cells.CD52/100 cells","NFr","Pt","XXX","Qn","","CELLMARK"
"CHANGED","42884-7","Cells.CD52/Cells","NFr","Pt","XXX","Qn","","CELLMARK"
"BEFORE","42885-4","Cells.CD52/100 cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"CHANGED","42885-4","Cells.CD52/Cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"BEFORE","42886-2","Cells.CD52/100 cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"CHANGED","42886-2","Cells.CD52/Cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"BEFORE","42887-0","Cells.CD79b/100 cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"CHANGED","42887-0","Cells.CD79b/Cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"BEFORE","42888-8","Cells.CD79b/100 cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"CHANGED","42888-8","Cells.CD79b/Cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"BEFORE","42889-6","Cells.CD79b/100 cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"CHANGED","42889-6","Cells.CD79b/Cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"BEFORE","42890-4","Cells.myeloperoxidase/100 cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"CHANGED","42890-4","Cells.myeloperoxidase/Cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"BEFORE","42903-5","Enterovirus NOS Ab","Titr","Pt","CSF","SemiQn","","MICRO"
"CHANGED","42903-5","Enterovirus Ab","Titr","Pt","CSF","SemiQn","","MICRO"
"BEFORE","42908-4","Hematocrit","VFr","Pt","BldC","Qn","","HEM/BC"
"CHANGED","42908-4","Erythrocyte/Specimen Volume","VFr","Pt","BldC","Qn","Calculated","HEM/BC"
"BEFORE","42925-8","Myeloid cells/100 cells","NFr","Pt","Body fld","Qn","","HEM/BC"
"CHANGED","42925-8","Myeloid cells/Cells","NFr","Pt","Body fld","Qn","","HEM/BC"
"BEFORE","42926-6","Myeloid cells/100 cells","NFr","Pt","Bld","Qn","","HEM/BC"
"CHANGED","42926-6","Myeloid cells/Cells","NFr","Pt","Bld","Qn","","HEM/BC"
"BEFORE","42927-4","Myeloid cells/100 cells","NFr","Pt","XXX","Qn","","HEM/BC"
"CHANGED","42927-4","Myeloid cells/Cells","NFr","Pt","XXX","Qn","","HEM/BC"
"BEFORE","42932-4","Cells.CD40/100 cells","NFr","Pt","XXX","Qn","","CELLMARK"
"CHANGED","42932-4","Cells.CD40/Cells","NFr","Pt","XXX","Qn","","CELLMARK"
"BEFORE","42933-2","Cells.CD79a/100 cells","NFr","Pt","XXX","Qn","","CELLMARK"
"CHANGED","42933-2","Cells.CD79a/Cells","NFr","Pt","XXX","Qn","","CELLMARK"
"BEFORE","42934-0","Cells.CD83/100 cells","NFr","Pt","XXX","Qn","","CELLMARK"
"CHANGED","42934-0","Cells.CD83/Cells","NFr","Pt","XXX","Qn","","CELLMARK"
"BEFORE","43038-9","Enterovirus NOS Ab","Titr","Pt","Ser","SemiQn","","MICRO"
"CHANGED","43038-9","Enterovirus Ab","Titr","Pt","Ser","SemiQn","","MICRO"
"BEFORE","43092-6","Arbovirus NOS Ab","Titr","Pt","Ser","SemiQn","","MICRO"
"CHANGED","43092-6","Arbovirus Ab","Titr","Pt","Ser","SemiQn","","MICRO"
"BEFORE","43155-1","Spermatozoa.motile/100 spermatozoa^post concentration","NFr","Pt","Semen","Qn","Microscopy.light.HPF","FERT"
"CHANGED","43155-1","Spermatozoa.motile/Spermatozoa^post concentration","NFr","Pt","Semen","Qn","Microscopy.light.HPF","FERT"
"BEFORE","43273-2","Cells.CD19+CD27+IgD+/100 cells","NFr","Pt","Bld/Tiss","Qn","","CELLMARK"
"CHANGED","43273-2","Cells.CD19+CD27+IgD+/Cells","NFr","Pt","Bld/Tiss","Qn","","CELLMARK"
"BEFORE","43274-0","Cells.CD1c+CD22+/100 cells","NFr","Pt","XXX","Qn","","CELLMARK"
"CHANGED","43274-0","Cells.CD1c+CD22+/Cells","NFr","Pt","XXX","Qn","","CELLMARK"
"BEFORE","43283-1","Myeloid cells/100 cells","NFr","Pt","Tiss","Qn","","HEM/BC"
"CHANGED","43283-1","Myeloid cells/Cells","NFr","Pt","Tiss","Qn","","HEM/BC"
"BEFORE","43285-6","Spermatozoa Ab.IgM/100 spermatozoa","NFr","Pt","Ser","Qn","","FERT"
"CHANGED","43285-6","Spermatozoa Ab.IgM/Spermatozoa","NFr","Pt","Ser","Qn","","FERT"
"BEFORE","43286-4","Spermatozoa Ab.IgG/100 spermatozoa","NFr","Pt","Ser","Qn","","FERT"
"CHANGED","43286-4","Spermatozoa Ab.IgG/Spermatozoa","NFr","Pt","Ser","Qn","","FERT"
"BEFORE","43288-0","Spermatozoa Ab.IgA/100 spermatozoa","NFr","Pt","Ser","Qn","","FERT"
"CHANGED","43288-0","Spermatozoa Ab.IgA/Spermatozoa","NFr","Pt","Ser","Qn","","FERT"
"BEFORE","43364-9","Enterovirus identified","Prid","Pt","XXX","Nom","IF","MICRO"
"CHANGED","43364-9","Enterovirus","Prid","Pt","XXX","Nom","IF","MICRO"
"BEFORE","43365-6","Nocardia sp identified","Prid","Pt","XXX","Nom","Organism specific culture","MICRO"
"CHANGED","43365-6","Nocardia sp","Prid","Pt","XXX","Nom","Organism specific culture","MICRO"
"BEFORE","43371-4","Salmonella & Shigella sp identified","Prid","Pt","Stool","Nom","Organism specific culture","MICRO"
"CHANGED","43371-4","Salmonella & Shigella sp","Prid","Pt","Stool","Nom","Organism specific culture","MICRO"
"BEFORE","43383-9","Neisseria sp identified","Prid","Pt","Thrt","Nom","Organism specific culture","MICRO"
"CHANGED","43383-9","Neisseria sp","Prid","Pt","Thrt","Nom","Organism specific culture","MICRO"
"BEFORE","43384-7","Neisseria sp identified","Prid","Pt","Urethra","Nom","Organism specific culture","MICRO"
"CHANGED","43384-7","Neisseria sp","Prid","Pt","Urethra","Nom","Organism specific culture","MICRO"
"BEFORE","43385-4","Neisseria sp identified","Prid","Pt","Cvx","Nom","Organism specific culture","MICRO"
"CHANGED","43385-4","Neisseria sp","Prid","Pt","Cvx","Nom","Organism specific culture","MICRO"
"BEFORE","43386-2","Neisseria sp identified","Prid","Pt","Anal","Nom","Organism specific culture","MICRO"
"CHANGED","43386-2","Neisseria sp","Prid","Pt","Anal","Nom","Organism specific culture","MICRO"
"BEFORE","43387-0","Neisseria sp identified","Prid","Pt","XXX","Nom","Organism specific culture","MICRO"
"CHANGED","43387-0","Neisseria sp","Prid","Pt","XXX","Nom","Organism specific culture","MICRO"
"BEFORE","43389-6","Streptococcus sp identified","Prid","Pt","Isolate","Nom","Organism specific culture","MICRO"
"CHANGED","43389-6","Streptococcus sp","Prid","Pt","Isolate","Nom","Organism specific culture","MICRO"
"BEFORE","43390-4","Streptococcus sp identified","Prid","Pt","Isolate","Nom","","MICRO"
"CHANGED","43390-4","Streptococcus sp","Prid","Pt","Isolate","Nom","","MICRO"
"BEFORE","43402-7","Erythrocyte sedimentation rate","Vel","Pt","Bld","Qn","15M reading","HEM/BC"
"CHANGED","43402-7","Sedimentation","Vel","Pt","RBC","Qn","15M reading","HEM/BC"
"BEFORE","43415-9","Unidentified cells/100 cells","NFr","Pt","Bone mar","Qn","","HEM/BC"
"CHANGED","43415-9","Unidentified cells/Cells","NFr","Pt","Bone mar","Qn","","HEM/BC"
"BEFORE","43416-7","Hematocrit","VFr","Pt","^Stem cell product","Qn","","HEM/BC"
"CHANGED","43416-7","Erythrocyte/Specimen Volume","VFr","Pt","^Stem cell product","Qn","Calculated","HEM/BC"
"BEFORE","43695-6","Herpes virus identified","Prid","Pt","XXX","Nom","Shell vial culture","MICRO"
"CHANGED","43695-6","Herpes virus","Prid","Pt","XXX","Nom","Shell vial culture","MICRO"
"BEFORE","43698-0","Enterovirus identified","Prid","Pt","XXX","Nom","Shell vial culture","MICRO"
"CHANGED","43698-0","Enterovirus","Prid","Pt","XXX","Nom","Shell vial culture","MICRO"
"BEFORE","43699-8","Enterovirus identified","Prid","Pt","CSF","Nom","Shell vial culture","MICRO"
"CHANGED","43699-8","Enterovirus","Prid","Pt","CSF","Nom","Shell vial culture","MICRO"
"BEFORE","43856-4","Cells.CD3+CD25+/100 cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"CHANGED","43856-4","Cells.CD3+CD25+/Cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"BEFORE","43935-6","Cells.CD55/100 cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"CHANGED","43935-6","Cells.CD55/Cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"BEFORE","43936-4","Cells.CD55/100 cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"CHANGED","43936-4","Cells.CD55/Cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"BEFORE","43937-2","Cells.CD59/100 cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"CHANGED","43937-2","Cells.CD59/Cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"BEFORE","43938-0","Cells.CD59/100 cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"CHANGED","43938-0","Cells.CD59/Cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"BEFORE","43944-8","Cells.CD4+CD45+/100 cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"CHANGED","43944-8","Cells.CD4+CD45+/Cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"BEFORE","43945-5","Cells.CD4+CD45RO+/100 cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"CHANGED","43945-5","Cells.CD4+CD45RO+/Cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"BEFORE","43946-3","Cells.CD4+CD45RO+/100 cells","NFr","Pt","CSF","Qn","","CELLMARK"
"CHANGED","43946-3","Cells.CD4+CD45RO+/Cells","NFr","Pt","CSF","Qn","","CELLMARK"
"BEFORE","43947-1","Cells.CD4+CD45+/100 cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"CHANGED","43947-1","Cells.CD4+CD45+/Cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"BEFORE","43948-9","Cells.CD4+CD45RO+/100 cells","NFr","Pt","XXX","Qn","","CELLMARK"
"CHANGED","43948-9","Cells.CD4+CD45RO+/Cells","NFr","Pt","XXX","Qn","","CELLMARK"
"BEFORE","43962-0","Cells.CD4+CD45RA+/100 cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"CHANGED","43962-0","Cells.CD4+CD45RA+/Cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"BEFORE","43963-8","Cells.CD4+CD45RA+/100 cells","NFr","Pt","CSF","Qn","","CELLMARK"
"CHANGED","43963-8","Cells.CD4+CD45RA+/Cells","NFr","Pt","CSF","Qn","","CELLMARK"
"BEFORE","43964-6","Cells.CD4+CD45RA+/100 cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"CHANGED","43964-6","Cells.CD4+CD45RA+/Cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"BEFORE","43965-3","Cells.CD4+CD45RA+/100 cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"CHANGED","43965-3","Cells.CD4+CD45RA+/Cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"BEFORE","43966-1","Cells.CD4+CD45RA+/100 cells","NFr","Pt","XXX","Qn","","CELLMARK"
"CHANGED","43966-1","Cells.CD4+CD45RA+/Cells","NFr","Pt","XXX","Qn","","CELLMARK"
"BEFORE","43967-9","Cells.CD3+CD25+/100 cells","NFr","Pt","CSF","Qn","","CELLMARK"
"CHANGED","43967-9","Cells.CD3+CD25+/Cells","NFr","Pt","CSF","Qn","","CELLMARK"
"BEFORE","43968-7","Cells.CD3+HLA-DR+/100 cells","NFr","Pt","CSF","Qn","","CELLMARK"
"CHANGED","43968-7","Cells.CD3+HLA-DR+/Cells","NFr","Pt","CSF","Qn","","CELLMARK"
"BEFORE","43970-3","Cells.CD3+CD4+/100 cells","NFr","Pt","CSF","Qn","","CELLMARK"
"CHANGED","43970-3","Cells.CD3+CD4+/Cells","NFr","Pt","CSF","Qn","","CELLMARK"
"BEFORE","43971-1","Cells.CD3+CD8+/100 cells","NFr","Pt","CSF","Qn","","CELLMARK"
"CHANGED","43971-1","Cells.CD3+CD8+/Cells","NFr","Pt","CSF","Qn","","CELLMARK"
"BEFORE","43979-4","Aspergillus sp identified","Prid","Pt","XXX","Nom","Organism specific culture","MICRO"
"CHANGED","43979-4","Aspergillus sp","Prid","Pt","XXX","Nom","Organism specific culture","MICRO"
"BEFORE","44061-0","Cells.CD20+FMC7+/100 cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"CHANGED","44061-0","Cells.CD20+FMC7+/Cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"BEFORE","44062-8","Cells.CD20+FMC7+/100 cells","NFr","Pt","CSF","Qn","","CELLMARK"
"CHANGED","44062-8","Cells.CD20+FMC7+/Cells","NFr","Pt","CSF","Qn","","CELLMARK"
"BEFORE","44063-6","Cells.CD20+FMC7+/100 cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"CHANGED","44063-6","Cells.CD20+FMC7+/Cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"BEFORE","44064-4","Cells.CD20+FMC7+/100 cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"CHANGED","44064-4","Cells.CD20+FMC7+/Cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"BEFORE","44070-1","Cells.CD20+CD52+/100 cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"CHANGED","44070-1","Cells.CD20+CD52+/Cells","NFr","Pt","Bone mar","Qn","","CELLMARK"
"BEFORE","44071-9","Cells.CD20+CD52+/100 cells","NFr","Pt","CSF","Qn","","CELLMARK"
"CHANGED","44071-9","Cells.CD20+CD52+/Cells","NFr","Pt","CSF","Qn","","CELLMARK"
"BEFORE","44072-7","Cells.CD20+CD52+/100 cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"CHANGED","44072-7","Cells.CD20+CD52+/Cells","NFr","Pt","Body fld","Qn","","CELLMARK"
"BEFORE","44073-5","Cells.CD20+CD52+/100 cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"CHANGED","44073-5","Cells.CD20+CD52+/Cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"BEFORE","44095-8","Unidentified cells/100 leukocytes","NFr","Pt","Bld","Qn","Manual count","HEM/BC"
"CHANGED","44095-8","Unidentified cells/Leukocytes","NFr","Pt","Bld","Qn","Manual count","HEM/BC"
"BEFORE","44096-6","Unidentified cells/100 leukocytes","NFr","Pt","Bld","Qn","Automated count","HEM/BC"
"CHANGED","44096-6","Unidentified cells/Leukocytes","NFr","Pt","Bld","Qn","Automated count","HEM/BC"
"BEFORE","44097-4","Unidentified cells/100 leukocytes","NFr","Pt","Bld","Qn","","HEM/BC"
"CHANGED","44097-4","Unidentified cells/Leukocytes","NFr","Pt","Bld","Qn","","HEM/BC"
"BEFORE","44280-6","17 alpha-Hydroxypregnanolone/Creatinine","MRto","Pt","Urine","Qn","","CHEM"
"CHANGED","44280-6","17-Hydroxypregnenolone/Creatinine","MRto","Pt","Urine","Qn","","CHEM"
"BEFORE","44798-7","Burkholderia sp identified","Prid","Pt","XXX","Nom","Organism specific culture","MICRO"
"CHANGED","44798-7","Burkholderia sp","Prid","Pt","XXX","Nom","Organism specific culture","MICRO"
"BEFORE","44892-8","Malignant cells/100 cells","NFr","Pt","CSF","Qn","","HEM/BC"
"CHANGED","44892-8","Malignant cells/Cells","NFr","Pt","CSF","Qn","","HEM/BC"
"BEFORE","44893-6","Malignant cells/100 cells","NFr","Pt","Synv fld","Qn","","HEM/BC"
"CHANGED","44893-6","Malignant cells/Cells","NFr","Pt","Synv fld","Qn","","HEM/BC"
"BEFORE","44894-4","Malignant cells/100 cells","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"CHANGED","44894-4","Malignant cells/Cells","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"BEFORE","44895-1","Malignant cells/100 cells","NFr","Pt","Plr fld","Qn","Manual count","HEM/BC"
"CHANGED","44895-1","Malignant cells/Cells","NFr","Pt","Plr fld","Qn","Manual count","HEM/BC"
"BEFORE","44896-9","Malignant cells/100 cells","NFr","Pt","Synv fld","Qn","Manual count","HEM/BC"
"CHANGED","44896-9","Malignant cells/Cells","NFr","Pt","Synv fld","Qn","Manual count","HEM/BC"
"BEFORE","44897-7","Malignant cells/100 cells","NFr","Pt","Pericard fld","Qn","Manual count","HEM/BC"
"CHANGED","44897-7","Malignant cells/Cells","NFr","Pt","Pericard fld","Qn","Manual count","HEM/BC"
"BEFORE","44898-5","Malignant cells/100 cells","NFr","Pt","Periton fld","Qn","Manual count","HEM/BC"
"CHANGED","44898-5","Malignant cells/Cells","NFr","Pt","Periton fld","Qn","Manual count","HEM/BC"
"BEFORE","44899-3","Malignant cells/100 cells","NFr","Pt","Urine","Qn","Manual count","HEM/BC"
"CHANGED","44899-3","Malignant cells/Cells","NFr","Pt","Urine","Qn","Manual count","HEM/BC"
"BEFORE","44900-9","Malignant cells/100 cells","NFr","Pt","Bone mar","Qn","Manual count","HEM/BC"
"CHANGED","44900-9","Malignant cells/Cells","NFr","Pt","Bone mar","Qn","Manual count","HEM/BC"
"BEFORE","44901-7","Malignant cells/100 cells","NFr","Pt","Liver","Qn","Manual count","HEM/BC"
"CHANGED","44901-7","Malignant cells/Cells","NFr","Pt","Liver","Qn","Manual count","HEM/BC"
"BEFORE","44902-5","Malignant cells/100 cells","NFr","Pt","Plr fld","Qn","","HEM/BC"
"CHANGED","44902-5","Malignant cells/Cells","NFr","Pt","Plr fld","Qn","","HEM/BC"
"BEFORE","44903-3","Malignant cells/100 cells","NFr","Pt","Bone mar","Qn","","HEM/BC"
"CHANGED","44903-3","Malignant cells/Cells","NFr","Pt","Bone mar","Qn","","HEM/BC"
"BEFORE","44904-1","Malignant cells/100 cells","NFr","Pt","Pericard fld","Qn","","HEM/BC"
"CHANGED","44904-1","Malignant cells/Cells","NFr","Pt","Pericard fld","Qn","","HEM/BC"
"BEFORE","44905-8","Malignant cells/100 cells","NFr","Pt","Periton fld","Qn","","HEM/BC"
"CHANGED","44905-8","Malignant cells/Cells","NFr","Pt","Periton fld","Qn","","HEM/BC"
"BEFORE","44933-0","Specific gravity","Rden","24H","Urine","Qn","Refractometry","CHEM"
"CHANGED","44933-0","Observation","SpGrav","24H","Urine","Qn","Refractometry","CHEM"
"BEFORE","45097-3","Chlamydia sp identified","Prid","Pt","Anal","Nom","Organism specific culture","MICRO"
"CHANGED","45097-3","Chlamydia sp","Prid","Pt","Anal","Nom","Organism specific culture","MICRO"
"BEFORE","45098-1","Chlamydia sp identified","Prid","Pt","Cvx","Nom","Organism specific culture","MICRO"
"CHANGED","45098-1","Chlamydia sp","Prid","Pt","Cvx","Nom","Organism specific culture","MICRO"
"BEFORE","45099-9","Chlamydia sp identified","Prid","Pt","Body fld","Nom","Organism specific culture","MICRO"
"CHANGED","45099-9","Chlamydia sp","Prid","Pt","Body fld","Nom","Organism specific culture","MICRO"
"BEFORE","45100-5","Chlamydia sp identified","Prid","Pt","Vag","Nom","Organism specific culture","MICRO"
"CHANGED","45100-5","Chlamydia sp","Prid","Pt","Vag","Nom","Organism specific culture","MICRO"
"BEFORE","45101-3","Chlamydia sp identified","Prid","Pt","Nph","Nom","Organism specific culture","MICRO"
"CHANGED","45101-3","Chlamydia sp","Prid","Pt","Nph","Nom","Organism specific culture","MICRO"
"BEFORE","45193-0","Cells.CD20+CD52+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","45193-0","Cells.CD20+CD52+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","45339-9","Tick identified^^^4","Prid","Pt","XXX","Nom","","MICRO"
"CHANGED","45339-9","Tick^^^4","Prid","Pt","XXX","Nom","","MICRO"
"BEFORE","45340-7","Tick identified^^^3","Prid","Pt","XXX","Nom","","MICRO"
