"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"26481-2","","","","","","","","","","Lymphozyten rel. /PP","Lymphozyten rel. /Pleurapunktat"
"26482-0","","","","","","","","","","Lymphozyten rel. /ASZ","Lymphozyten rel. /Aszites"
"26484-6","","","","","","","","","","Monozyten abs.","Monozyten abs."
"26485-3","","","","","","","","","","Monozyten rel.","Monozyten rel."
"26486-1","","","","","","","","","","Monozyten rel./L","Monozyten rel./L"
"26487-9","","","","","","","","","","Monozyten rel. /SM","Monozyten rel./Sondermaterial"
"26489-5","","","","","","","","","","Mononuk.Zellen ab. /L","Mononuk.Zellen ab. /Liquor"
"26490-3","","","","","","","","","","Mononuk.Zell.abs./SM","Mononukleäre Zellen abs. /Sondermaterial"
"26491-1","","","","","","","","","","Mononukleäre Zellen abs. /PG","Mononukleäre Zellen abs. /Gelenkspunktat"
"26492-9","","","","","","","","","","Mononuk.Z.rel./L","Mononukleäre Zellen rel. /Liquor"
"26493-7","","","","","","","","","","MNC rel. /SM","Mononukleäre Zellen rel. /SM"
"26494-5","","","","","","","","","","Mononukleäre Zellen rel. /PP","Mononukleäre Zellen rel. /Pleurapunktat"
"26495-2","","","","","","","","","","Mononukleäre Zellen rel. /ASZ","Mononukleäre Zellen rel. /Aszites"
"26499-4","","","","","","","","","","Neutroph. Gran. abs.","Neutrophile Granulozyten abs."
"26500-9","","","","","","","","","","Neutrophile Granulozyten abs. /L","Neutrophile Granulozyten abs. /Liquor"
"26511-6","","","","","","","","","","Neutroph. Gran. rel.","Neutrophile Granulozyten rel."
"26512-4","","","","","","","","","","Neutroph.Gran.rel/L","Neutrophile Granulozyten rel. /Liquor"
"26513-2","","","","","","","","","","Neutroph.Gr.rel. /SM","Neutrophile Gran. rel./Sondermaterial"
"26514-0","","","","","","","","","","Neutrophile Granulozyten rel. /ASZ","Neutrophile Granulozyten rel. /Aszites"
"26515-7","","","","","","","","","","Thrombozyten","Thrombozyten"
"26516-5","","","","","","","","","","Thrombozyten /P","Thrombozyten /Plasma"
"26517-3","","","","","","","","","","Polymorphk.Z.rel. /L","Polymorphkernige Zellen rel. /Liquor"
"26518-1","","","","","","","","","","Polymorphkernige Zellen rel. /SM","Polymorphkernige Zellen rel. /Sondermaterial"
"26519-9","","","","","","","","","","PMNC rel. /PP","PMNC rel. /Pleurapunktat"
"26520-7","","","","","","","","","","PMNC rel./ ASZ","PMNC rel./ Aszites"
"26522-3","","","","","","","","","","Polymorphkernige Zellen rel./PG","Polymorphkernige Zellen rel./Gelenkspunktat"
"26539-7","","","","","","","","","","Glucose 45min (oGTT)","Glucose 45 min (oGTT)"
"26554-6","","","","","","","","","","Glucose 150min (oGTT)","Glucose 150min (oGTT)"
"2655-9","","","","","","","","","","Neurotensin","Neurotensin"
"26568-6","","","","","","","","","","aktiv.T-Z.(DR+)abs.","aktiv.T-Z. (DR+CD3+) abs."
"26575-1","","","","","","","","","","3-Methylhistidin/Kreatinin-Ratio /U","3-Methylhistidin/Kreatinin-Ratio /Urin"
"26577-7","","","","","","","","","","Asparagin/Kreatinin-Ratio /U","Asparagin/Kreatinin-Ratio /Urin"
"26583-5","","","","","","","","","","3-OH-3-Methyl-Glutarsäure/Kreatinin-Ratio /U","3-OH-3-Methyl-Glutarsäure/Kreatinin-Ratio /U"
"26584-3","","","","","","","","","","1-Methylhistidin /L","1-Methylhistidin /Liquor"
"26585-0","","","","","","","","","","3-Methylhistidin /L","3-Methylhistidin /Liquor"
"26586-8","","","","","","","","","","Alpha-Aminobutyrat /L","Alpha-Aminobutyrat /Liquor"
"26587-6","","","","","","","","","","Alpha-Aminoadipat /L","Alpha-Aminoadipat /Liquor"
"26588-4","","","","","","","","","","Anserin /L","Anserin /Liquor"
"26589-2","","","","","","","","","","Beta-Alanin /L","Beta-Alanin /Liquor"
"26591-8","","","","","","","","","","Carnosin /L","Carnosin /Liquor"
"26592-6","","","","","","","","","","Cystathionin /L","Cystathionin /Liquor"
"26594-2","","","","","","","","","","Gamma-Aminobutyrat /L","Gamma-Aminobutyrat /Liquor"
"57921-9","","","","","","","","","","tCO2 /BN art","tCO2 Blut Nabelschnur art"
"57923-5","","","","","","","","","","tCO2 /BN ven.","tCO2 Blut Nabelschnur ven."
"5792-7","","","","","","","","","","Glucose/U Teststr.","Glucose /Urin Teststreifen"
"5794-3","","","","","","","","","","Hb /U Teststr.","Hämoglobin /Urin Teststreifen"
"57954-0","","","","","","","","","","Darunavir","Darunavir"
"57958-1","","","","","","","","","","DPYD2A Gen-Mutation","DPYD2A Gen-Mutationsanalyse"
"57961-5","","","","","","","","","","Etravirin","Etravirin"
"5797-6","","","","","","","","","","Keton /U Teststr.","Keton /Urin Teststreifen"
"5798-4","","","","","","","","","","Leucinkristalle /US","Leucinkristalle /Urinsediment"
"5799-2","","","","","","","","","","Leukozyten /U ql. Teststreifen","Leukozyten /Urin qualitativ Teststreifen"
"5802-4","","","","","","","","","","Nitrit /U ql.Tests.","Nitrit /Urin qual. Teststreifen"
"5803-2","","","","","","","","","","pH /U Teststr.","pH /Urin Teststreifen"
"5804-0","","","","","","","","","","Tot.Prot./U Teststr.","Totalprotein /Urin Teststreifen"
"5805-7","","","","","","","","","","Pyrophosphatkrst /PG","Pyrophosphatkristalle /Gelenkspunktat"
"5806-5","","","","","","","","","","Pyrophosphatkrist/US","Pyrophosphatkristalle /Urinsediment"
"5809-9","","","","","","","","","","Reduzierende Verbindungen /U","Reduzierende Verbindungen /Urin"
"26595-9","","","","","","","","","","Hydroxylysin /L","Hydroxylysin /Liquor"
"26596-7","","","","","","","","","","Hydroxyprolin /L","Hydroxyprolin /Liquor"
"26597-5","","","","","","","","","","Phosphoethanolamin /L","Phosphoethanolamin /Liquor"
"26598-3","","","","","","","","","","Sarkosin /L","Sarkosin /Liquor"
"26599-1","","","","","","","","","","Anserin","Anserin"
"26600-7","","","","","","","","","","Alpha-Aminoadipat","Alpha-Aminoadipat"
"26602-3","","","","","","","","","","Tryptophan /L","Tryptophan /Liquor"
"26603-1","","","","","","","","","","Aspargin /L","Aspargin /Liquor"
"26604-9","","","","","","","","","","Beta-Alanin","Beta-Alanin"
"26606-4","","","","","","","","","","Carnosin","Carnosin"
"26607-2","","","","","","","","","","Cystathionin","Cystathionin"
"26609-8","","","","","","","","","","Gamma-Aminobutyrat","Gamma-Aminobutyrat"
"26610-6","","","","","","","","","","Hydroxylysin","Hydroxylysin"
"26611-4","","","","","","","","","","Phosphoethanolamin /24hU","Phosphoethanolamin /24h Urin"
"26612-2","","","","","","","","","","Phosphoethanolamin","Phosphoethanolamin"
"26613-0","","","","","","","","","","Sarkosin","Sarkosin"
"26614-8","","","","","","","","","","Taurin /L","Taurin /Liquor"
"26620-5","","","","","","","","","","Hanta Virus AK IgG ql.","Hanta Virus Antikörper IgG qualitativ"
"26623-9","","","","","","","","","","Chikungunya Virus AK ql.","Chikungunya Virus Antikörper qualitativ"
"2666-6","","","","","","","","","","Noradrenalin","Noradrenalin"
"2667-4","","","","","","","","","","Noradrenalin /U","Noradrenalin /Urin"
"2668-2","","","","","","","","","","Noradrenal.Urinexkr.","Noradrenalin Urinexkretion"
"26684-1","","","","","","","","","","M.pn. AK IgA ql.","Mycoplasma pneumoniae Antikörper IgA qualitativ"
"2669-0","","","","","","","","","","Normetanephrin","Normetanephrin"
"2670-8","","","","","","","","","","Normetanephrin /U","Normetanephrin /Urin"
"2671-6","","","","","","","","","","Normetanep.Urinexkr.","Normetanephrin Urinexkretion"
"26728-6","","","","","","","","","","CD38","CD38"
"26749-2","","","","","","","","","","Harnstoff-N /PD 2","Harnstoff-N /PD 2"
"26776-5","","","","","","","","","","Quetiapin","Quetiapin"
"26777-3","","","","","","","","","","Gluc.30M n.Lactoseb.","Glucose 30 min nach Lactosebelastung"
"26778-1","","","","","","","","","","Gluc.60M n.Lactoseb.","Glucose 60 min nach Lactosebelastung"
"26779-9","","","","","","","","","","Gluc.90M n.Lactoseb.","Glucose 90 min nach Lactosebelastung"
"26780-7","","","","","","","","","","Gluc.120Mn.Lactoseb.","Glucose 120 min nach Lactosebelastung"
"26848-2","","","","","","","","","","Interleukin-10","Interleukin-10"
"2685-6","","","","","","","","","","A1-sr.Glykoprotein","Alpha 1-saures Glykoprotein"
"26858-1","","","","","","","","","","zytotox T-Zellen abs.","zytotox T-Zellen abs."
"26881-3","","","","","","","","","","Interleukin-6","Interleukin-6"
"2690-6","","","","","","","","","","Osmolalität /PP","Osmolalität /Pleurapunktat"
"2691-4","","","","","","","","","","Osmolalität /ASZ","Osmolalität /Aszites"
"2692-2","","","","","","","","","","Osmolalität","Osmolalität"
"26924-1","","","","","","","","","","CA 19-9 /SM","CA 19-9 /Sondermaterial"
"2693-0","","","","","","","","","","Osmolalität /ST","Osmolalaität /Stuhl"
"2694-8","","","","","","","","","","Osmolalität /24h U","Osmolalität /24h Urin"
"26948-0","","","","","","","","","","IgG m212 Micropolyspora faeni","IgG m212 Micropolyspora faeni"
"26949-8","","","","","","","","","","IgG m213 Thermoactinomyces vulg.","IgG m213 Thermoactinomyces vulg."
"26951-4","","","","","","","","","","IgG m6 Alternaria alternata","IgG m6 Alternaria alternata"
"26954-8","","","","","","","","","","IgG m3 Aspergillus fumigatus","IgG m3 Aspergillus fumigatus"
"2695-5","","","","","","","","","","Osmolalität /U","Osmolalität /Urin"
"26955-5","","","","","","","","","","IgG Aureobasidium pullulans","IgG Aureobasidium pullulans"
"26957-1","","","","","","","","","","IgG Penicillium notatum","IgG Penicillium notatum"
"26960-5","","","","","","","","","","Trypsin ql. /ST","Trypsin qualitativ /Stuhl"
"26962-1","","","","","","","","","","Cystin /U","Cystin /Urin"
"26969-6","","","","","","","","","","GPA(Parietalzell)-AK ql. IF","GPA(Parietalzell)-Antikörper qual. IF"
"2697-1","","","","","","","","","","Osteocalcin","Osteocalcin"
"26971-2","","","","","","","","","","SMA (ASMA) ql.IF","SMA (ASMA) qual. IF"
"26974-6","","","","","","","","","","Delta-Amino-Lävulinsäure /24hU","Delta-Amino-Lävulinsäure /24h Urin"
"26975-3","","","","","","","","","","Scl-70 Antikörper EIA","Scl-70 Antikörper EIA"
"26997-7","","","","","","","","","","CD3+25+ [Ly] abs.","CD3+25+ [Lymphozyten] abs."
"2700-3","","","","","","","","","","Oxalsäure /U","Oxalsäure /Urin"
"2701-1","","","","","","","","","","Oxalsäure /24h U","Oxalsäure /24h Urin"
"27011-6","","","","","","","","","","CD14","CD14"
"2703-7","","","","","","","","","","pO2 art.","pO2 arteriell"
"27038-9","","","","","","","","","","Endomysium IgA-AK IF Ti.","Endomysium IgA-Antikörper IF Titer"
"27042-1","","","","","","","","","","Methohexital","Methohexital"
"2704-5","","","","","","","","","","pO2 Kap.","PO2 Kapillarblut"
"2705-2","","","","","","","","","","pO2 ven.","pO2 venös"
"27057-9","","","","","","","","","","Serotonin","Serotonin"
"27068-6","","","","","","","","","","Yo-AK","Yo(Purkinje Zell)-Antikörper"
"27071-0","","","","","","","","","","CD45","CD45"
"27081-9","","","","","","","","","","Itraconazol/Hydroxyitraconazol","Itraconazol/Hydroxyitraconazol"
"27082-7","","","","","","","","","","Delavirdin","Delavirdin"
"2708-6","","","","","","","","","","O2-Sättigung art.","O2-Sättigung arteriell"
"2709-4","","","","","","","","","","O2-Sättigung Kap.","O2-Sättigung Kapillarblut"
"2711-0","","","","","","","","","","O2-Sättigung ven.","O2-Sättigung venös"
"27112-2","","","","","","","","","","Gramfärbung /Körperflüssigkeit","Gramfärbung /Körperflüssigkeit"
"2713-6","","","","","","","","","","O2-Sättigung ber. /B","O2-Sättigung ber. /Blut"
"2714-4","","","","","","","","","","Oxygen.Hämoglob. art.","Oxygeniertes Hämoglobin arteriell"
"2715-1","","","","","","","","","","Oxygen.Hämoglob. Kap.","Oxygeniertes Hämoglobin kapillär"
"27161-9","","","","","","","","","","Interleukin-4","Interleukin-4"
"2716-9","","","","","","","","","","Oxygen.Hämoglob. ven.","Oxygeniertes Hämoglobin venös"
"27212-0","","","","","","","","","","Dopamin /24hU","Dopamin /24h Urin"
"27214-6","","","","","","","","","","Yo-AK ql.","Yo(Purkinje Zell)-Antikörper qual."
"27221-1","","","","","","","","","","Noradrenalin /24hU","Noradrenalin /24h Urin"
"2723-5","","","","","","","","","","Para-Aminohippursäure-Clearance","Para-Aminohippursäure-Clearance"
"2731-8","","","","","","","","","","PTH intakt","PTH intakt"
"27365-6","","","","","","","","","","Kappa Leichtk. /U","Kappa Leichtketten /Urin"
"27382-1","","","","","","","","","","Porphobilinogen /24hU","Porphobilinogen /24h Urin"
"27394-6","","","","","","","","","","Lambda Leichtk. /U","Lambda Leichtketten /Urin"
"27400-1","","","","","","","","","","Hexacarboxyporphyrin /U","Hexacarboxyporphyrin /Urin"
"27415-9","","","","","","","","","","Interferon-gamma","Interferon-gamma"
"27416-7","","","","","","","","","","Scl-70 AK","Scl-70 Antikörper"
"2742-5","","","","","","","","","","ACE","Angiotensin Converting Enzym"
"2744-1","","","","","","","","","","pH art.","pH arteriell"
"2745-8","","","","","","","","","","pH Kap.","pH Kapillarblut"
"2746-6","","","","","","","","","","pH ven.","pH venös"
"2748-2","","","","","","","","","","pH /Körperflüssigkeit","pH /Körperflüssigkeit"
"2750-8","","","","","","","","","","pH /Plp.","pH /Pleurapunktat"
"2751-6","","","","","","","","","","pH /ASZ","pH /Aszites"
"2752-4","","","","","","","","","","ph-Wert Ejakulat","ph-Wert Ejakulat"
"2754-0","","","","","","","","","","pH /PG","pH /Gelenkspunktat"
"2755-7","","","","","","","","","","pH /ST","pH /Stuhl"
"2756-5","","","","","","","","","","pH Wert /U","pH Wert /Urin"
"2762-3","","","","","","","","","","Phenylalanin Kap.","Phenylalanin Kapillarblut"
"2768-0","","","","","","","","","","Q.Phenylala./Tyrosin","Quotient Phenylalanin/Tyrosin"
"2776-3","","","","","","","","","","Phosphat-Clearance in 24 Stunden","Phosphat-Clearance in 24 Stunden"
"2777-1","","","","","","","","","","Phosphat M.konz.","Phosphat Massenkonzentration"
"2778-9","","","","","","","","","","Phosphat M.Konz. U","Phosphat Massenkonzentration Urin"
"2779-7","","","","","","","","","","Phosphat Urinexkr.","Phosphat Urinexkretion"
"27810-1","","","","","","","","","","Antiplasmin Akt.","Antiplasmin Aktivität"
"27811-9","","","","","","","","","","AT III Aktivität","Antithrombin III Aktivität"
"27813-5","","","","","","","","","","Faktor II Antigen","Faktor II Antigen"
"27815-0","","","","","","","","","","Faktor XIII Akt.","Faktor XIII (Fibrin-stabilis. Faktor) Aktivität"
"27816-8","","","","","","","","","","vWillebrand Fakt.AG","von Willebrand Faktor Antigen (vWF-AG)"
"27818-4","","","","","","","","","","Protein C Aktivität","Protein C Aktivität"
"27820-0","","","","","","","","","","Protein C Antigen","Protein C Antigen"
"27821-8","","","","","","","","","","Protein S AG, freies","Protein S Antigen, freies"
"27823-4","","","","","","","","","","Protein S AG, gesamt","Protein S Antigen, gesamt"
"27830-9","","","","","","","","","","Insulin 60 min","Insulin Abnahme 60 Minuten"
"27834-1","","","","","","","","","","Insulin 90 min","Insulin Abnahme 90M"
"27848-1","","","","","","","","","","LH stimuliert Abnahme 2","LH stimuliert Abnahme 2"
"27849-9","","","","","","","","","","Aldosteron stimuliert Abnahme 2","Aldosteron stimuliert Abnahme 2"
"27851-5","","","","","","","","","","LH stimuliert Abnahme 3","LH stimuliert Abnahme 3"
"27853-1","","","","","","","","","","LH stimuliert Abnahme 4","LH stimuliert Abnahme 4"
"27854-9","","","","","","","","","","LH stimuliert Abnahme 5","LH stimuliert Abnahme 5"
"27855-6","","","","","","","","","","LH stimuliert Abnahme 6","LH stimuliert Abnahme 6"
"27860-6","","","","","","","","","","Insulin 2 h","Insulin Abnahme 2 Stunden"
"27861-4","","","","","","","","","","Insulin 3 h","Insulin Abnahme 3 Stunden"
"27882-0","","","","","","","","","","Proinsulin","Proinsulin"
"27885-3","","","","","","","","","","LH 90 min nach Belastung","LH 90 min nach Belastung"
"27944-8","","","","","","","","","","C-Peptid Urinexkretion","C-Peptid Urinexkretion"
"27988-5","","","","","","","","","","Aldosteron basal","Aldosteron basal"
"27994-3","","","","","","","","","","Ehrlichia chaffeensis DNA /B ql. PCR","Ehrlichia chaffeensis DNA /Blut qualitativ PCR"
"27996-8","","","","","","","","","","17-Hydroxy-Progesteron basal","17-Hydroxy-Progesteron basal"
"28005-7","","","","","","","","","","MTHFR-Mut. 677C>T","MTHFR-Mutation 677C>T"
"28009-9","","","","","","","","","","Urinvolumen","Urinvolumen"
"28041-2","","","","","","","","","","GHB","Gamma-Hydroxybuttersäure (GHB)"
"2804-3","","","","","","","","","","Phytansäure","Phytansäure"
"28044-6","","","","","","","","","","GHB /U qn.","Gamma-Hydroxybuttersäure /Urin quantitativ"
"28060-2","","","","","","","","","","MTHFR-Mut. 1298A>C","MTHFR-Mutation 1298A>C"
"2809-2","","","","","","","","","","Porphobilinogen ql. /U","Porphobilinogen qualitativ /Urin"
"2819-1","","","","","","","","","","Kalium /L","Kalium /Liquor"
"2820-9","","","","","","","","","","Kalium /D","Kalium /Dialysat"
"2821-7","","","","","","","","","","Kalium /SM","Kalium /Sondermaterial"
"2823-3","","","","","","","","","","Kalium","Kalium"
"2827-4","","","","","","","","","","Kalium /SW","Kalium /Schweiss"
"2828-2","","","","","","","","","","Kalium /U","Kalium /Urin"
"2829-0","","","","","","","","","","Kalium Urinexkretion","Kalium Urinexkretion"
"2839-9","","","","","","","","","","Progesteron","Progesteron"
"28539-5","","","","","","","","","","MCH","MCH (mittleres zelluläres Hämoglobin)"
"28540-3","","","","","","","","","","MCHC","MCHC (mittlere zelluläre Hämoglobinkonzentration)"
"28541-1","","","","","","","","","","Metamyeloz. rel. mi.","Metamyelozyten rel. mikr."
"28542-9","","","","","","","","","","MPV","MPV (Mittleres Thrombozytenvolumen)"
"28543-7","","","","","","","","","","Basophile Gr.rel./SM","Basophile Granulozyten rel. /Sondermaterial"
"28549-4","","","","","","","","","","Yersinia spp. Kultur /ST","Yersinia spp. Kultur /Stuhl"
"2857-1","","","","","","","","","","PSA(Prostata-spezifisches Antigen)","PSA(Prostata-spezifisches Antigen)"
"28588-2","","","","","","","","","","Beta-Alanin/Kreatinin-Ratio /U","Beta-Alanin/Kreatinin-Ratio /Urin"
"28590-8","","","","","","","","","","Alpha-Aminobutyrat/Kreatinin-Ratio /U","Alpha-Aminobutyrat/Kreatinin-Ratio /Urin"
"28594-0","","","","","","","","","","3-Methylhistidin/Kreatinin-Ratio /U","3-Methylhistidin/Kreatinin-Ratio /Urin"
"28595-7","","","","","","","","","","TaU/Kreatinin-Ratio /Urin","Taurin/Kreatinin-Ratio /Urin"
"28596-5","","","","","","","","","","Anserin/Kreatinin-Ratio /U","Anserin/Kreatinin-Ratio /Urin"
"28597-3","","","","","","","","","","Carnosin/Kreatinin-Ratio /U","Carnosin/Kreatinin-Ratio /Urin"
"28598-1","","","","","","","","","","Alpha-Aminoadipat/Kreatinin-Ratio /U","Alpha-Aminoadipat/Kreatinin-Ratio /Urin"
"28599-9","","","","","","","","","","Cystathionin/Kreatinin-Ratio /U","Cystathionin/Kreatinin-Ratio /Urin"
"28601-3","","","","","","","","","","Hydroxyprolin/Kreatinin-Ratio /U","Hydroxyprolin/Kreatinin-Ratio /Urin"
"28602-1","","","","","","","","","","Beta-Aminoisobutyrat/Kreatinin-Ratio /U","Beta-Aminoisobutyrat/Kreatinin-Ratio /Urin"
"28603-9","","","","","","","","","","Aspargin/Kreatinin-Ratio /U","Aspargin/Kreatinin-Ratio /Urin"
"28604-7","","","","","","","","","","Phosphoethanolamin/Kreatinin -Ratio /U","Phosphoethanolamin/Kreatinin -Ratio /Urin"
"28606-2","","","","","","","","","","1-Methylhistidin/Kreatinin-Ratio /U","1-Methylhistidin/Kreatinin-Ratio /Urin"
"28608-8","","","","","","","","","","Tryptophan/Kreatinin-Ratio /U","Tryptophan/Kreatinin-Ratio /Urin"
"28610-4","","","","","","","","","","Sarkosin/Kreatinin-Ratio /U","Sarkosin/Kreatinin-Ratio /Urin"
"2862-1","","","","","","","","","","Albumin Elpho","Albumin Elpho"
"28638-5","","","","","","","","","","Base excess /BN art.","Base excess Blut Nabelschnur art."
"28639-3","","","","","","","","","","Base excess /BN ven.","Base excess Blut Nabelschnur ven."
"28640-1","","","","","","","","","","Bikarbonat /BN art.","Bikarbonat Blut Nabelschnur art."
"28641-9","","","","","","","","","","Bikrbonat /BN ven.","Bikrbonat Blut Nabelschnur ven."
"28642-7","","","","","","","","","","sO2 /BN art.","sO2 Blut Nabelschnur art."
"28643-5","","","","","","","","","","sO2 /BN ven.","sO2 Blut Nabelschnur ven."
"28644-3","","","","","","","","","","pCO2 /BN art.","pCO2 Blut Nabelschnur art."
"28645-0","","","","","","","","","","pCO2 /BN ven.","pCO2 Blut Nabelschnur ven."
"28646-8","","","","","","","","","","pH /BN art.","pH Blut Nabelschnur art."
"28647-6","","","","","","","","","","pH /BN ven.","pH Blut Nabelschnur ven."
"28648-4","","","","","","","","","","pO2 /BN art.","pO2 Blut Nabelschnur art."
"28649-2","","","","","","","","","","pO2 /BN ven.","pO2 Blut Nabelschnur ven."
"28652-6","","","","","","","","","","Danaparoid (a-FXa Akt.)","Danaparoid (Orgaran) (anti-FXa Aktivität)"
"2865-4","","","","","","","","","","Alpha-1-Globulin","Alpha-1-Globulin"
"28659-1","","","","","","","","","","Präkallikrein","Präkallikrein (Fletcher-Faktor)"
"28660-9","","","","","","","","","","Plasminogen Akt.","Plasminogen Aktivität"
"2868-8","","","","","","","","","","Alpha-2-Globulin","Alpha-2-Globulin"
"2871-2","","","","","","","","","","Beta-Globulin","Beta-Globulin"
"2874-6","","","","","","","","","","Gamma-Globulin","Gamma-Globulin"
"2879-5","","","","","","","","","","Totalprotein ql. /L","Totalprotein qualitativ /Liquoriquor"
"2880-3","","","","","","","","","","Totalprotein /L","Totalprotein /Liquor"
"2881-1","","","","","","","","","","Totalprotein /SM","Totalprotein /Sondermaterial"
"2882-9","","","","","","","","","","Totalprotein /PP","Totalprotein /Pleurapunktat"
"2883-7","","","","","","","","","","Totalprotein /ASZ","Totalprotein /Aszites"
"2885-2","","","","","","","","","","Totalprotein","Totalprotein"
"2886-0","","","","","","","","","","Totalprotein /PG","Totalprotein /Gelenkspunktat"
"2888-6","","","","","","","","","","Totalprotein /U","Totalprotein /Urin"
"2889-4","","","","","","","","","","Tot.Protein Ur.exkr.","Totalprotein Urinexkretion"
"2890-2","","","","","","","","","","Totalprotein/Kreatinin-Ratio /U","Totalprotein/Kreatinin-Ratio /U"
"2900-9","","","","","","","","","","Vitamin B6 Pyridoxin","Vitamin B6 Pyridoxin"
"29141-9","","","","","","","","","","Metanephrin","Metanephrin"
"29146-8","","","","","","","","","","Alpha-1-Antitry. /SM","Alpha-1-Antitrypsin /Sondermaterial"
"29153-4","","","","","","","","","","CA 15-3 /SM","CA 15-3 /Sondermaterial"
"29154-2","","","","","","","","","","Beta-HCG /SM","Beta-HCG /Sondermaterial"
"2915-7","","","","","","","","","","Renin-Aktivität","Renin-Aktivität"
"29208-6","","","","","","","","","","ASLO /SM","ASLO /Sondermaterial"
"29210-2","","","","","","","","","","Bilirubin indirekt /SM","Bilirubin indirekt /Sondermaterial"
"29220-1","","","","","","","","","","Haptoglobin /SM","Haptoglobin /Sondermaterial"
"5810-7","","","","","","","","","","Spez.Gew. rfm /U","Spezifisches Gewicht (refraktometrisch) /Urin"
"5811-5","","","","","","","","","","Spez.Gew./U Teststr.","Spezifisches Gewicht /Urin Teststreifen"
"5813-1","","","","","","","","","","Trichomonaden /US","Trichomonaden /Urinsediment"
"5814-9","","","","","","","","","","Tripelphosphatkr./US","Tripelphosphatkristalle /Urinsediment"
"5815-6","","","","","","","","","","Tyrosinkristalle /US","Tyrosinkristalle /Urinsediment"
"5816-4","","","","","","","","","","Harnsäurekrst. /PG","Harnsäurekristalle /Gelenkspunktat"
"5817-2","","","","","","","","","","Harnsäurekrist. /US","Harnsäurekristalle /Urinsediment"
"5818-0","","","","","","","","","","Urobilinogen /U ql. Teststreifen","Urobilinogen /Urin qualitativ Teststreifen"
"5821-4","","","","","","","","","","Leukozyten mikr. /US","Leukozyten mikroskopisch /Urinsediment"
"5835-4","","","","","","","","","","CMV Kultur /B","CMV Kultur /Blut"
"58419-3","","","","","","","","","","Caspofungin","Caspofungin"
"58442-5","","","","","","","","","","Sonstiges /US","Sonstiges /Urinsediment"
"58444-1","","","","","","","","","","Ery., dysmorph /US","Erythrozyten, dysmorph /Urinsediment"
"58445-8","","","","","","","","","","Kommentar Differentialblutbild","Kommentar Differentialblutbild"
"58448-2","","","","","","","","","","Mikroalbumin Urinexkretion","Mikroalbumin Urinexkretion"
"58452-4","","","","","","","","","","HBV s-AG qn.","HBV s-Antigen quant."
"58453-2","","","","","","","","","","Hämoglobin (Blut) /Stuhl","Hämoglobin (Blut) /Stuhl"
"58457-3","","","","","","","","","","Sulfite Teststreifen /U","Sulfite Teststreifen /Urin"
"5846-1","","","","","","","","","","Herpes simplex-Virus 1 AG ql. /SM","Herpes simplex-Virus 1 Antigen ql. /Sondermaterial"
"58463-1","","","","","","","","","","Tau Protein Quotient /L","Tau Protein Quotient /Liquor"
"58469-8","","","","","","","","","","Zellzahl /KF","Zellzahl /Körperflüssigkeit"
"2923-1","","","","","","","","","","Vitamin A","Vitamin A"
"29247-4","","","","","","","","","","Sirolimus","Sirolimus"
"29248-2","","","","","","","","","","Varizella-Zoster-Virus-DNA /B PCR","Varizella-Zoster-Virus-DNA /Blut PCR"
"29257-3","","","","","","","","","","Mycoplasma pneumoniae DNA /SM PCR","Mycoplasma pneumoniae DNA /Sondermaterial PCR"
"29265-6","","","","","","","","","","Calcium albuminkorr.","Calcium albuminkorrigiert"
"2933-0","","","","","","","","","","Sekretin","Sekretin"
"29363-9","","","","","","","","","","Cortisol 90 min","Cortisol 90 min"
"29374-6","","","","","","","","","","RNP-AK","RNP-Antikörper"
"29463-7","","","","","","","","","","Körpergewicht","Körpergewicht"
"2947-0","","","","","","","","","","Natrium/B","Natrium/Blut"
"2948-8","","","","","","","","","","Natrium /L","Natrium /Liquor"
"29495-9","","","","","","","","","","Human-Herpes-Virus 6-DNA /SM PCR","Human-Herpes-Virus 6-DNA /Sondermaterial PCR"
"2949-6","","","","","","","","","","Natrium /D","Natrium /Dialysat"
"29502-2","","","","","","","","","","2-OH-Glutarsäure/Kreatinin-Ratio /U","2-OH-Glutarsäure/Kreatinin-Ratio /Urin"
"2950-4","","","","","","","","","","Natrium /SM","Natrium /Sondermaterial"
"58470-6","","","","","","","","","","Zellzahl (total) /L","Zellzahl (total) /Liquor"
"58477-1","","","","","","","","","","Kommentar Lungenfunktionsdiagnostik","Kommentar Lungenfunktionsdiagnostik"
"58494-6","","","","","","","","","","C-Peptid 90 Min (oGTT)","C-Peptid 90 Min (oGTT)"
"5849-5","","","","","","","","","","Herpes simplex-Virus 2 AG ql. /SM","Herpes simplex-Virus 2 Antigen ql. /Sondermaterial"
"58500-0","","","","","","","","","","C-Peptid 15 Min (oGTT)","C-Peptid 15 Min (oGTT)"
"58503-4","","","","","","","","","","C-Peptid 60 Min (oGTT)","C-Peptid 60 Min (oGTT)"
"58504-2","","","","","","","","","","C-Peptid Stimulationstest Abnahme 1","C-Peptid Stimulationstest Abnahme 1"
"58505-9","","","","","","","","","","C-Peptid 150 Min (oGTT)","C-Peptid 150 Min (oGTT)"
"58510-9","","","","","","","","","","C-Peptid 30 Min (oGTT)","C-Peptid 30 Min (oGTT)"
